# runtime-coordinate callers — maintained by scripts/check_runtime_coordinate_callers.py
# DO NOT ADD A SITE WITHOUT REVIEWING ITS RECIPIENT/RESOURCE AUTHORITY.
# Regenerate with `python scripts/check_runtime_coordinate_callers.py --write`;
# new sites are deliberately marked `unclassified` until reviewed.
# Classifications identify the reviewed boundary: exact runtime recipient,
# fresh Kubernetes attestation, pinned host key, VM authority, local-only,
# read-only probe, or a Kubernetes path contained before network I/O.
#
# A site is identified by its call, not by its position: <callee> is
# the call target and <fingerprint> hashes the normalized argument
# structure. Reordering calls preserves classifications; changing a
# target or an argument shape mints a new `unclassified` site.
#
# <file>  <enclosing qualname>  <kind>  <callee>  <fingerprint>  #<ordinal>  <classification>

src/orchestrator/main.py  _forward_to_agent  http  client.post  354d7ac9ee96  #1  exact-runtime-recipient
src/orchestrator/routers/thread_files.py  upload_files_to_thread  remote-effect  upload_files_to_attested_vm_workspace  8f1a01b30667  #1  fresh-k8s-attestation
src/orchestrator/services/agent_cloud_mounts.py  _build_agent_cloud_mount  remote-effect  _build_rclone_mount_from_row  0e83b668f377  #1  local-only
src/orchestrator/services/agent_cloud_mounts.py  _build_agent_cloud_mount  remote-effect  _build_rclone_session_mount  ee81a67b673b  #1  local-only
src/orchestrator/services/agent_registration.py  get_agent_system_info  http  client.get  7e0ff1b83a17  #1  read-only-probe
src/orchestrator/services/agent_toolset_probe.py  agent_toolset_from_status  http  client.get  8d7b711c0959  #1  read-only-probe
src/orchestrator/services/agent_toolset_probe.py  agent_toolset_probe  http  client.get  8d7b711c0959  #1  read-only-probe
src/orchestrator/services/canvas_ssh.py  resolve_remote_workspace_target  remote-effect  RemoteWorkspaceTarget  2c2ece0ea102  #1  pinned-host-key
src/orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  _run_ssh_capture  3f83ac72f00a  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  _run_ssh_capture  8161a3ff0171  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  build_agent_ssh_cmd  5dc7a4d96427  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  build_agent_ssh_cmd  af19e4cb2391  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.publish_ro_mount_staging_exact  56819aa16438  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.publish_vm_ro_mount_staging_exact  7dcd527df03e  #1  contained-k8s
src/orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.update_ro_mount_staging  e34bccb3e77d  #1  contained-k8s
src/orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  ssh  _run_authorized_ssh_capture  36ed71025bde  #1  contained-k8s
src/orchestrator/services/cloud_staging/stage.py  _stream_authorized_tar  ssh  build_agent_ssh_cmd  3432b34d15be  #1  vm-authority
src/orchestrator/services/cloud_staging/stage.py  _stream_authorized_tar  ssh  build_agent_ssh_cmd  ad317ba9f7ed  #1  vm-authority
src/orchestrator/services/container_provisioner.py  ContainerProvisioner._create_ide_pod_legacy  remote-effect  self._seed_workspace_state  cd45bd21d0c8  #1  fresh-k8s-attestation
